GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
g10390,2019,5983000,0.0
g10391,2019,5983000,0.0
g10392,2019,5983000,0.0
g10393,2019,5983000,0.0
g10394,2019,5983000,0.0
g10395,2019,5983000,0.0
g10396,2019,5983000,0.0
g10397,2019,1956000,0.0
g10398,2019,5983000,0.0
g10399,2019,5983000,0.0
g10400,2019,1956000,0.0
g10401,2019,1956000,0.0
g10402,2019,5983000,0.0
g10403,2019,5983000,0.0
g10404,2019,5983000,0.0
g10405,2019,5983000,0.0
g10406,2019,5983000,0.0
g10407,2019,5983000,0.0
g10408,2019,5983000,0.0
g10409,2019,5983000,0.0
g10410,2019,5983000,0.0
g10411,2019,5983000,0.0
g10412,2019,5983000,0.0
g10413,2019,5983000,0.0
g10414,2019,5983000,0.0
g10415,2019,5983000,0.0
g10416,2019,5983000,0.0
g10417,2019,5983000,0.0
g10418,2019,5983000,0.0
g10419,2019,5983000,0.0
g10420,2019,5983000,0.0
g10421,2019,5983000,0.0
g10422,2019,5983000,0.0
g10423,2019,1616000,61861.06691800189
g10424,2019,1616000,61861.06691800189
g10425,2019,5983000,0.0
g10426,2019,5983000,0.0
g10427,2019,5983000,0.0
g10428,2019,1956000,0.0
g10429,2019,5983000,0.0
g10430,2019,5983000,0.0
g10431,2019,5983000,0.0
g10432,2019,5983000,0.0
g10433,2019,5983000,0.0
g10434,2019,5983000,0.0
g10435,2019,5983000,0.0
g10436,2019,5983000,0.0
g10437,2019,5983000,0.0
g10438,2019,5983000,0.0
g10439,2019,5983000,0.0
g10440,2019,5983000,0.0
g10441,2019,1600000,0.0
g10442,2019,1956000,0.0
g10443,2019,5983000,0.0
g10444,2019,5983000,0.0
g10445,2019,5983000,0.0
g10446,2019,5983000,0.0
g10447,2019,1600000,0.0
g10448,2019,1600000,0.0
g10449,2019,5983000,0.0
g10450,2019,5983000,0.0
g10451,2019,1600000,0.0
g10452,2019,1600000,0.0
g10453,2019,1600000,0.0
g10454,2019,1600000,0.0
g10455,2019,1600000,0.0
g10456,2019,1600000,0.0
g10457,2019,1600000,0.0
g10458,2019,1956000,0.0
g10459,2019,1616000,186505.4417266187
g10460,2019,1616000,186505.4417266187
g10461,2019,1616000,186505.4417266187
g10462,2019,1616000,186505.4417266187
g10463,2019,1956000,0.0
g10464,2019,5983000,0.0
g10465,2019,5983000,0.0
g10466,2019,5983000,0.0
g10467,2019,5983000,0.0
g10468,2019,5983000,0.0
g10469,2019,5983000,0.0
g10470,2019,7186000,73876.0
g10471,2019,5983000,0.0
g10472,2019,5983000,0.0
g10473,2019,1600000,0.0
g10474,2019,1600000,0.0
g10475,2019,1956000,0.0
g10476,2019,5983000,0.0
g10477,2019,5983000,0.0
g10478,2019,5983000,0.0
g10479,2019,5983000,0.0
g10480,2019,5983000,0.0
g10481,2019,5983000,0.0
g10482,2019,1616000,96831.89696287963
g10483,2019,1616000,96831.89696287963
g10484,2019,1600000,0.0
g10485,2019,5983000,0.0
g10486,2019,5983000,0.0
g10487,2019,5983000,0.0
g10488,2019,5983000,0.0
g10489,2019,5983000,0.0
g10490,2019,5983000,0.0
g10491,2019,5983000,0.0
g10492,2019,5983000,0.0
g10493,2019,5983000,0.0
g10494,2019,5983000,0.0
g10495,2019,5983000,0.0
g10496,2019,5983000,0.0
g10497,2019,5255000,22570.891903000414
g10498,2019,5255000,145846.26960361758
g10499,2019,5983000,0.0
g10500,2019,5983000,0.0
g10501,2019,5983000,0.0
g10502,2019,5983000,0.0
g10503,2019,5983000,0.0
g10504,2019,5983000,0.0
g10505,2019,1616000,131572.64854368934
g10506,2019,5983000,0.0
g10507,2019,5983000,0.0
g10508,2019,5983000,0.0
g10509,2019,5983000,0.0
g10510,2019,5983000,0.0
g10511,2019,5983000,0.0
g10512,2019,5983000,0.0
g10513,2019,5983000,0.0
g10514,2019,1616000,97824.45649202734
g10515,2019,1616000,204425.63713527852
g10516,2019,1616000,92533.55744680851
g10517,2019,1616000,92533.55744680851
g10518,2019,1616000,92533.55744680851
g10519,2019,1616000,92533.55744680851
g10520,2019,5983000,0.0
g10521,2019,5983000,0.0
g10522,2019,1956000,0.0
g10523,2019,5983000,0.0
g10524,2019,5983000,0.0
g10525,2019,5983000,0.0
g10526,2019,5983000,0.0
g10527,2019,5983000,0.0
g10528,2019,5983000,0.0
g10529,2019,5983000,0.0
g10530,2019,5983000,0.0
g10531,2019,5983000,0.0
g10532,2019,5983000,0.0
g10533,2019,5983000,0.0
g10534,2019,1616000,100858.66382978724
g10535,2019,1616000,100858.66382978724
g10536,2019,5983000,0.0
g10537,2019,5983000,0.0
g10538,2019,1616000,47877.85962951821
g10539,2019,1616000,47877.85962951821
g10540,2019,1616000,47877.85962951821
g10541,2019,1956000,0.0
g10542,2019,5983000,0.0
g10543,2019,5983000,0.0
g10544,2019,1600000,0.0
g10545,2019,1600000,0.0
g10546,2019,1600000,0.0
g10547,2019,5983000,0.0
g10548,2019,5983000,0.0
g10549,2019,5983000,0.0
g10550,2019,5983000,0.0
g10551,2019,5983000,0.0
g10552,2019,5983000,0.0
g10553,2019,5983000,0.0
g10554,2019,5983000,0.0
g10555,2019,5983000,0.0
g10556,2019,5983000,0.0
g10557,2019,5983000,0.0
g10558,2019,5983000,0.0
g10559,2019,1956000,0.0
g10560,2019,1956000,0.0
g10561,2019,5983000,0.0
g10562,2019,5983000,0.0
g10563,2019,5983000,0.0
g10564,2019,1616000,288493.7538461538
g10565,2019,5983000,0.0
g10566,2019,5983000,0.0
g10567,2019,5983000,0.0
g10568,2019,5983000,0.0
g10569,2019,1956000,0.0
g10570,2019,1956000,0.0
g10571,2019,1956000,0.0
g10572,2019,1956000,0.0
g10573,2019,1616000,50113.167489730935
g10574,2019,1616000,50113.167489730935
g10575,2019,1616000,50113.167489730935
g10576,2019,5983000,0.0
g10577,2019,5983000,0.0
g10578,2019,5983000,0.0
g10579,2019,5983000,0.0
g10580,2019,5983000,0.0
g10581,2019,5983000,0.0
g10582,2019,1616000,67153.42666197677
g10583,2019,1616000,67153.42666197677
g10584,2019,5983000,0.0
g10585,2019,5983000,0.0
g10586,2019,5983000,0.0
g10587,2019,5983000,0.0
g10588,2019,5983000,0.0
g10589,2019,5983000,0.0
g10590,2019,5983000,0.0
g10591,2019,5983000,0.0
g10592,2019,5983000,0.0
g10593,2019,5983000,0.0
g10594,2019,5983000,0.0
g10595,2019,5983000,0.0
g10596,2019,5983000,0.0
g10597,2019,5983000,0.0
g10598,2019,5983000,0.0
g10599,2019,1616000,91611.81674897551
g10600,2019,1616000,91611.81674897551
g10601,2019,1616000,91611.81674897551
g10602,2019,1600000,0.0
g10603,2019,1600000,0.0
g10604,2019,1600000,0.0
g10605,2019,1600000,0.0
g10606,2019,5983000,0.0
g10607,2019,5983000,0.0
g10608,2019,5983000,0.0
g10609,2019,5983000,0.0
g10610,2019,5983000,0.0
g10611,2019,5983000,0.0
g10612,2019,5983000,0.0
g10613,2019,5983000,0.0
g10614,2019,5983000,0.0
g10615,2019,5983000,0.0
g10616,2019,1616000,46006.95483870969
g10617,2019,1956000,0.0
g10618,2019,1956000,0.0
g10619,2019,5983000,0.0
g10620,2019,5983000,0.0
g10621,2019,5983000,0.0
g10622,2019,5983000,0.0
g10623,2019,1956000,0.0
g10624,2019,1956000,0.0
g10625,2019,1616000,635418.1263157894
g10626,2019,1616000,635418.1263157894
g10627,2019,1616000,635418.1263157894
g10628,2019,1616000,635418.1263157894
g10629,2019,1956000,0.0
g10630,2019,1956000,0.0
g10631,2019,1616000,61764.86520376176
g10632,2019,1616000,61764.86520376176
g10633,2019,5983000,0.0
g10634,2019,5983000,0.0
g10635,2019,5983000,0.0
g10636,2019,5983000,0.0
g10637,2019,5983000,0.0
g10638,2019,5983000,0.0
g10639,2019,5983000,0.0
g10640,2019,5983000,0.0
g10641,2019,5983000,0.0
g10642,2019,1956000,0.0
g10643,2019,5983000,0.0
g10644,2019,5983000,0.0
g10645,2019,5983000,0.0
g10646,2019,1616000,221929.65709312444
g10647,2019,1616000,221929.65709312444
g10648,2019,1616000,221929.65709312444
g10649,2019,1616000,221929.65709312444
g10650,2019,1616000,221929.65709312444
g10651,2019,1616000,221929.65709312444
g10652,2019,1956000,0.0
g10653,2019,1956000,0.0
g10654,2019,5983000,0.0
g10655,2019,5983000,0.0
g10656,2019,5983000,0.0
g10657,2019,5983000,0.0
g10658,2019,5983000,0.0
g10659,2019,5983000,0.0
g10660,2019,1956000,0.0
g10661,2019,1956000,0.0
g10662,2019,1956000,0.0
