GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g10390i,hydro,2010683,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10390,hydro,2010683,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10391i,hydro,2010684,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10391,hydro,2010684,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10392i,hydro,2010685,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10392,hydro,2010685,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10393i,hydro,2010686,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10393,hydro,2010686,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10394i,hydro,2010687,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10394,hydro,2010687,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10395i,hydro,2010688,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10395,hydro,2010688,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10396i,hydro,2010689,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10396,hydro,2010689,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10397i,wind,2010691,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10397,wind,2010691,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10398i,hydro,2010694,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10398,hydro,2010694,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10399i,hydro,2010695,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10399,hydro,2010695,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10400i,wind,2010699,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10400,wind,2010699,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10401i,wind,2010703,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10401,wind,2010703,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10402i,hydro,2010710,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10402,hydro,2010710,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10403i,hydro,2010711,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10403,hydro,2010711,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10404i,hydro,2010712,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10404,hydro,2010712,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10405i,hydro,2010713,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10405,hydro,2010713,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10406i,hydro,2010714,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10406,hydro,2010714,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10407i,hydro,2010715,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10407,hydro,2010715,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10408i,hydro,2010722,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10408,hydro,2010722,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10409i,hydro,2010723,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10409,hydro,2010723,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10410i,hydro,2010724,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10410,hydro,2010724,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10411i,hydro,2010725,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10411,hydro,2010725,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10412i,hydro,2010726,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10412,hydro,2010726,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10413i,hydro,2010727,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10413,hydro,2010727,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10414i,hydro,2010728,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10414,hydro,2010728,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10415i,hydro,2010728,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10415,hydro,2010728,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10416i,hydro,2010729,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10416,hydro,2010729,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10417i,hydro,2010729,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10417,hydro,2010729,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10418i,hydro,2010731,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10418,hydro,2010731,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10419i,hydro,2010731,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10419,hydro,2010731,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10420i,hydro,2010731,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10420,hydro,2010731,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10421i,hydro,2010731,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10421,hydro,2010731,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10422i,hydro,2010731,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10422,hydro,2010731,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10423i,ng,2010737,0,5000.0,6.94,8.2257783,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10423,ng,2010737,0,.,6.94,8.2257783,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10424i,ng,2010738,0,5000.0,6.93,10.6623183,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10424,ng,2010738,0,.,6.93,10.6623183,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10425i,hydro,2010742,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10425,hydro,2010742,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10426i,hydro,2010743,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10426,hydro,2010743,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10427i,hydro,2010744,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10427,hydro,2010744,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10428i,wind,2010746,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10428,wind,2010746,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10429i,hydro,2010750,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10429,hydro,2010750,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10430i,hydro,2010751,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10430,hydro,2010751,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10431i,hydro,2010752,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10431,hydro,2010752,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10432i,hydro,2010753,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10432,hydro,2010753,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10433i,hydro,2010754,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10433,hydro,2010754,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10434i,hydro,2010755,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10434,hydro,2010755,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10435i,hydro,2010757,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10435,hydro,2010757,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10436i,hydro,2010757,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10436,hydro,2010757,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10437i,hydro,2010757,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10437,hydro,2010757,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10438i,hydro,2010757,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10438,hydro,2010757,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10439i,hydro,2010758,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10439,hydro,2010758,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10440i,hydro,2010758,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10440,hydro,2010758,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10441i,solar,2010760,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10441,solar,2010760,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10442i,wind,2010768,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10442,wind,2010768,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10443i,hydro,2010771,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10443,hydro,2010771,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10444i,hydro,2010772,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10444,hydro,2010772,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10445i,hydro,2010773,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10445,hydro,2010773,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10446i,hydro,2010774,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10446,hydro,2010774,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10447i,solar,2010776,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10447,solar,2010776,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10448i,solar,2010776,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10448,solar,2010776,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10449i,hydro,2010778,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10449,hydro,2010778,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10450i,hydro,2010778,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10450,hydro,2010778,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g10451i,solar,2010782,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10451,solar,2010782,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10452i,solar,2010782,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10452,solar,2010782,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10453i,solar,2010783,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10453,solar,2010783,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10454i,solar,2010784,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10454,solar,2010784,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10455i,solar,2010784,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10455,solar,2010784,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10456i,solar,2010785,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10456,solar,2010785,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10457i,solar,2010785,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10457,solar,2010785,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g10458i,wind,2010791,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10458,wind,2010791,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g10459i,ng,2010796,0,5000.0,6.67,9.649073399999997,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10459,ng,2010796,0,.,6.67,9.649073399999997,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10460i,ng,2010797,0,5000.0,6.78,10.046273400000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g10460,ng,2010797,0,.,6.78,10.046273400000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
