load_zone,fuel,period,fuel_cost
2010737,NaturalGas,2030,2.77
2010738,NaturalGas,2030,3.59
2010796,NaturalGas,2030,3.38
2010797,NaturalGas,2030,3.46
2010798,NaturalGas,2030,3.28
2010811,Uranium,2030,1.0
2010836,NaturalGas,2030,3.17
2010859,Coal,2030,2.69
2010860,Coal,2030,2.5
2010872,NaturalGas,2030,3.31
2010889,NaturalGas,2030,3.03
2010890,NaturalGas,2030,3.36
2010895,NaturalGas,2030,3.23
2010896,NaturalGas,2030,3.18
2010897,NaturalGas,2030,3.25
2010898,NaturalGas,2030,3.63
2010923,NaturalGas,2030,3.02
2010930,NaturalGas,2030,4.03
2010931,NaturalGas,2030,3.16
2010932,NaturalGas,2030,3.32
2010969,NaturalGas,2030,3.31
2010989,NaturalGas,2030,3.01
2010990,NaturalGas,2030,3.9
2010991,NaturalGas,2030,3.36
2011005,NaturalGas,2030,3.4
2011006,NaturalGas,2030,2.84
2011031,NaturalGas,2030,3.12
2011032,NaturalGas,2030,3.48
2011033,NaturalGas,2030,3.33
2011050,NaturalGas,2030,3.32
2011062,NaturalGas,2030,3.48
2011072,NaturalGas,2030,2.99
2011073,NaturalGas,2030,3.4
2013462,NaturalGas,2030,3.6
2013509,NaturalGas,2030,3.49
2013510,NaturalGas,2030,3.68
2013511,NaturalGas,2030,3.37
2013522,NaturalGas,2030,3.6
2013539,NaturalGas,2030,3.42
2013540,NaturalGas,2030,3.38
2013541,NaturalGas,2030,3.53
2013542,NaturalGas,2030,3.61
2013551,NaturalGas,2030,3.04
2013552,NaturalGas,2030,3.46
2013559,NaturalGas,2030,4.0
2013560,NaturalGas,2030,3.23
2013561,NaturalGas,2030,3.17
2013645,NaturalGas,2030,3.45
2013646,NaturalGas,2030,3.53
2013677,NaturalGas,2030,3.93
2013678,NaturalGas,2030,3.55
2013693,NaturalGas,2030,3.73
2013694,NaturalGas,2030,3.72
2013698,Coal,2030,2.02
2020288,NaturalGas,2030,3.81
2020299,NaturalGas,2030,3.88
2020300,NaturalGas,2030,3.51
2020301,NaturalGas,2030,3.77
2020302,NaturalGas,2030,3.64
2020332,NaturalGas,2030,3.84
2020339,NaturalGas,2030,3.45
2020355,NaturalGas,2030,3.82
2020356,NaturalGas,2030,3.81
2020428,NaturalGas,2030,4.23
2020429,NaturalGas,2030,3.72
2020430,NaturalGas,2030,3.44
2020453,NaturalGas,2030,3.5
2020456,NaturalGas,2030,3.66
2020460,NaturalGas,2030,3.34
2020468,NaturalGas,2030,3.87
2020469,NaturalGas,2030,3.91
2020470,NaturalGas,2030,3.8
2020471,NaturalGas,2030,3.1
2020499,NaturalGas,2030,3.52
2020500,NaturalGas,2030,3.78
2020502,NaturalGas,2030,3.85
2020503,NaturalGas,2030,4.03
2020509,NaturalGas,2030,4.05
2020523,NaturalGas,2030,3.42
2020528,NaturalGas,2030,3.63
2020530,NaturalGas,2030,4.01
2020531,NaturalGas,2030,3.86
2021596,NaturalGas,2030,3.23
2021597,NaturalGas,2030,2.96
2021598,NaturalGas,2030,3.88
2021599,NaturalGas,2030,4.16
2021611,NaturalGas,2030,3.4
