GENERATION_PROJECT,build_year,gen_predetermined_cap
g10390,2019,161.29549734523678
g10391,2019,161.29245919309238
g10392,2019,161.29245919309238
g10393,2019,161.29245919309238
g10394,2019,161.29245919309238
g10395,2019,161.29245919309238
g10396,2019,13.064054220842308
g10397,2019,99.10956805215972
g10398,2019,35.44510835112254
g10399,2019,35.44510835112254
g10400,2019,100.9133822330888
g10401,2019,136.58881825590868
g10402,2019,219.3545848243755
g10403,2019,219.3545848243755
g10404,2019,219.3545848243755
g10405,2019,219.3545848243755
g10406,2019,219.3545848243755
g10407,2019,219.3545848243755
g10408,2019,106.23405331522157
g10409,2019,106.23405331522157
g10410,2019,106.23405331522157
g10411,2019,106.23405331522157
g10412,2019,106.23405331522157
g10413,2019,106.23405331522157
g10414,2019,28.305450811825
g10415,2019,28.305450811825
g10416,2019,28.305450811825
g10417,2019,28.305450811825
g10418,2019,17.1351780943141
g10419,2019,17.1351780943141
g10420,2019,17.1351780943141
g10421,2019,17.1351780943141
g10422,2019,17.1351780943141
g10423,2019,165.76153326433572
g10424,2019,165.76153326433572
g10425,2019,81.01739051685152
g10426,2019,81.01739051685152
g10427,2019,81.01739051685152
g10428,2019,90.19070904645474
g10429,2019,414.5761144485439
g10430,2019,414.5730762963995
g10431,2019,414.5730762963995
g10432,2019,414.5730762963995
g10433,2019,414.5730762963995
g10434,2019,414.5761144485439
g10435,2019,41.01505394915608
g10436,2019,41.01505394915608
g10437,2019,41.01505394915608
g10438,2019,41.01505394915608
g10439,2019,56.30708640921181
g10440,2019,56.30708640921181
g10441,2019,0.11077109288741514
g10442,2019,267.36534637326804
g10443,2019,52.48407829419788
g10444,2019,52.48407829419788
g10445,2019,52.479014707290574
g10446,2019,52.48407829419788
g10447,2019,0.0504323674934573
g10448,2019,0.03602311963818379
g10449,2019,10.12717381460644
g10450,2019,14.988217245617532
g10451,2019,0.03302059261634117
g10452,2019,0.03302059261634117
g10453,2019,0.03302059261634117
g10454,2019,0.07096554568722206
g10455,2019,0.10482727814711483
g10456,2019,0.07096554568722206
g10457,2019,0.07096554568722206
g10458,2019,105.52312958435203
g10459,2019,43.43233388075903
g10460,2019,43.43233388075903
g10461,2019,43.43233388075903
g10462,2019,43.43233388075903
g10463,2019,98.00723716381414
g10464,2019,12.15260857752773
g10465,2019,12.15260857752773
g10466,2019,46.17991259460537
g10467,2019,46.17991259460537
g10468,2019,46.17991259460537
g10469,2019,46.17991259460537
g10470,2019,1096.9099791959536
g10471,2019,67.85206455786314
g10472,2019,67.85206455786314
g10473,2019,0.09131860828279591
g10474,2019,0.012968323069746164
g10475,2019,151.52039119804394
g10476,2019,136.71684649718694
g10477,2019,136.71684649718694
g10478,2019,136.71684649718694
g10479,2019,136.71684649718694
g10480,2019,136.71684649718694
g10481,2019,136.71684649718694
g10482,2019,92.59315304555103
g10483,2019,92.59315304555103
