LOAD_ZONE,dbid,existing_local_td,local_td_annual_cost_per_mw
2010001,1,99999,0
2010002,2,99999,0
2010003,3,99999,0
2010004,4,99999,0
2010005,5,99999,0
2010006,6,99999,0
2010007,7,99999,0
2010008,8,99999,0
2010009,9,99999,0
2010010,10,99999,0
2010011,11,99999,0
2010012,12,99999,0
2010013,13,99999,0
2010014,14,99999,0
2010015,15,99999,0
2010016,16,99999,0
2010017,17,99999,0
2010018,18,99999,0
2010019,19,99999,0
2010020,20,99999,0
2010021,21,99999,0
2010022,22,99999,0
2010023,23,99999,0
2010024,24,99999,0
2010025,25,99999,0
2010026,26,99999,0
2010027,27,99999,0
2010028,28,99999,0
2010029,29,99999,0
2010030,30,99999,0
2010031,31,99999,0
2010032,32,99999,0
2010033,33,99999,0
2010034,34,99999,0
2010035,35,99999,0
2010036,36,99999,0
2010037,37,99999,0
2010038,38,99999,0
2010039,39,99999,0
2010040,40,99999,0
2010041,41,99999,0
2010042,42,99999,0
2010043,43,99999,0
2010044,44,99999,0
2010045,45,99999,0
2010046,46,99999,0
2010047,47,99999,0
2010048,48,99999,0
2010049,49,99999,0
2010050,50,99999,0
2010051,51,99999,0
2010052,52,99999,0
2010053,53,99999,0
2010054,54,99999,0
2010055,55,99999,0
2010056,56,99999,0
2010057,57,99999,0
2010058,58,99999,0
2010059,59,99999,0
2010060,60,99999,0
2010061,61,99999,0
2010062,62,99999,0
2010063,63,99999,0
2010064,64,99999,0
2010065,65,99999,0
2010066,66,99999,0
2010067,67,99999,0
2010068,68,99999,0
2010069,69,99999,0
2010070,70,99999,0
2010071,71,99999,0
2010072,72,99999,0
2010073,73,99999,0
2010074,74,99999,0
2010075,75,99999,0
2010076,76,99999,0
2010077,77,99999,0
2010078,78,99999,0
2010079,79,99999,0
2010080,80,99999,0
2010081,81,99999,0
2010082,82,99999,0
2010083,83,99999,0
2010084,84,99999,0
2010085,85,99999,0
2010086,86,99999,0
2010087,87,99999,0
2010088,88,99999,0
2010089,89,99999,0
2010090,90,99999,0
2010091,91,99999,0
2010092,92,99999,0
2010093,93,99999,0
2010094,94,99999,0
2010095,95,99999,0
2010096,96,99999,0
2010097,97,99999,0
2010098,98,99999,0
2010099,99,99999,0
2010100,100,99999,0
2010101,101,99999,0
2010102,102,99999,0
2010103,103,99999,0
2010104,104,99999,0
2010105,105,99999,0
2010106,106,99999,0
2010107,107,99999,0
2010108,108,99999,0
2010109,109,99999,0
2010110,110,99999,0
2010111,111,99999,0
2010112,112,99999,0
2010113,113,99999,0
2010114,114,99999,0
2010115,115,99999,0
2010116,116,99999,0
2010117,117,99999,0
2010118,118,99999,0
2010119,119,99999,0
2010120,120,99999,0
