LOAD_ZONE,TIMEPOINT,zone_demand_mw
2010001,1,9.093
2010002,1,15.074
2010003,1,13.574
2010004,1,0
2010005,1,9.858
2010006,1,12.678
2010007,1,0
2010008,1,0
2010009,1,15.866
2010010,1,31.591
2010011,1,30.205
2010012,1,0
2010013,1,54.513
2010014,1,0
2010015,1,23.592
2010016,1,0
2010017,1,24.422
2010018,1,23.083
2010019,1,0
2010020,1,50.325
2010021,1,8.48
2010022,1,45.458
2010023,1,0
2010024,1,41.468
2010025,1,29.139
2010026,1,17.593
2010027,1,0
2010028,1,30.403
2010029,1,30.403
2010030,1,0
2010031,1,37.543
2010032,1,39.147
2010033,1,55.702
2010034,1,0
2010035,1,55.702
2010036,1,0
2010037,1,54.985
2010038,1,34.515
2010039,1,0
2010040,1,41.1
2010041,1,18.941
2010042,1,55.891
2010043,1,0
2010044,1,35.412
2010045,1,23.913
2010046,1,0
2010047,1,43.165
2010048,1,43.165
2010049,1,0
2010050,1,0
2010051,1,0
2010052,1,16.517
2010053,1,41.203
2010054,1,40.864
2010055,1,16.574
2010056,1,0
2010057,1,0
2010058,1,41.439
2010059,1,0
2010060,1,41.439
2010061,1,48.174
2010062,1,0
2010063,1,0
2010064,1,34.185
2010065,1,43.637
2010066,1,0
2010067,1,0
2010068,1,0
2010069,1,55.523
2010070,1,10.442
2010071,1,36.194
2010072,1,0
2010073,1,36.194
2010074,1,0
2010075,1,13.885
2010076,1,26.375
2010077,1,26.846
2010078,1,0
2010079,1,52.693
2010080,1,0
2010081,1,0
2010082,1,0
2010083,1,21.054
2010084,1,0
2010085,1,38.543
2010086,1,0
2010087,1,10.254
2010088,1,0
2010089,1,31.346
2010090,1,31.346
2010091,1,35.534
2010092,1,29.676
2010093,1,29.676
2010094,1,0
2010095,1,0
2010096,1,16.998
2010097,1,29.261
2010098,1,18.715
2010099,1,0
2010100,1,0
2010101,1,0
2010102,1,31.959
2010103,1,0
2010104,1,54.466
2010105,1,0
2010106,1,48.429
2010107,1,25.422
2010108,1,0
2010109,1,0
2010110,1,11.772
2010111,1,0
2010112,1,10.565
2010113,1,0
2010114,1,29.299
2010115,1,29.299
2010116,1,45.222
2010117,1,0
2010118,1,42.816
2010119,1,0
2010120,1,0
2010121,1,0
2010122,1,33.421
2010123,1,0
2010124,1,0
2010125,1,33.421
2010126,1,0
2010127,1,0
2010128,1,42.345
2010129,1,47.25
2010130,1,47.25
2010131,1,0
2010132,1,39.355
2010133,1,0
2010134,1,67.003
2010135,1,57.551
2010136,1,0
2010137,1,18.932
2010138,1,35.893
2010139,1,33.016
2010140,1,15.159
2010141,1,38.779
2010142,1,38.779
2010143,1,0
2010144,1,0
2010145,1,35.817
2010146,1,35.817
2010147,1,0
2010148,1,49.288
2010149,1,0
2010150,1,7.537
2010151,1,11.065
2010152,1,0
2010153,1,33.346
2010154,1,31.186
2010155,1,0
2010156,1,31.619
2010157,1,30.497
2010158,1,0
2010159,1,14.357
2010160,1,52.127
2010161,1,0
2010162,1,24.149
2010163,1,0
2010164,1,25.13
2010165,1,0
2010166,1,45.014
2010167,1,30.525
2010168,1,30.525
2010169,1,0
2010170,1,13.687
2010171,1,48.92
2010172,1,0
2010173,1,0
2010174,1,38.751
2010175,1,38.751
2010176,1,0
2010177,1,34.902
2010178,1,34.902
2010179,1,52.268
2010180,1,1.377
2010181,1,0
2010182,1,52.268
2010183,1,45.835
2010184,1,0
2010185,1,64.201
2010186,1,0
2010187,1,35.459
2010188,1,48.806
2010189,1,0
2010190,1,0
2010191,1,59.871
2010192,1,0
2010193,1,59.871
2010194,1,0
2010195,1,0
2010196,1,0
2010197,1,0
2010198,1,52.042
2010199,1,24.064
2010200,1,54.693
2010201,1,42.769
2010202,1,20.432
2010203,1,0
2010204,1,11.952
2010205,1,0
2010206,1,38.44
2010207,1,38.44
2010208,1,22.8
2010209,1,76.775
2010210,1,46.675
2010211,1,46.675
2010212,1,0
2010213,1,0
2010214,1,11.81
2010215,1,34.327
2010216,1,0
2010217,1,34.327
2010218,1,28.931
2010219,1,36.317
2010220,1,0
2010221,1,36.317
2010222,1,0
2010223,1,8.876
2010224,1,0
2010225,1,33.572
2010226,1,33.572
2010227,1,44.571
2010228,1,50.353
2010229,1,33.44
2010230,1,48.872
2010231,1,48.872
2010232,1,45.618
2010233,1,0
2010234,1,35.506
2010235,1,0
2010236,1,35.506
2010237,1,31.582
2010238,1,31.582
2010239,1,47.175
2010240,1,0
2010241,1,47.873
2010242,1,0
2010243,1,43.081
2010244,1,32.506
2010245,1,32.506
2010246,1,0
2010247,1,38.826
2010248,1,41.439
2010249,1,47.627
2010250,1,53.778
2010251,1,53.778
2010252,1,29.346
2010253,1,0
2010254,1,29.346
2010255,1,0
2010256,1,0
2010257,1,22.96
2010258,1,0
2010259,1,45.958
2010260,1,28.591
2010261,1,0
2010262,1,51.787
2010263,1,33.666
2010264,1,0
2010265,1,0
2010266,1,46.901
2010267,1,21.951
2010268,1,0
2010269,1,50.438
2010270,1,0
2010271,1,50.438
2010272,1,51.966
2010273,1,51.966
2010274,1,23.177
2010275,1,0
2010276,1,40.666
2010277,1,42.373
2010278,1,0
2010279,1,27.007
2010280,1,0
2010281,1,0
2010282,1,0
2010283,1,31.101
2010284,1,0
2010285,1,22.658
2010286,1,50.363
2010287,1,0
2010288,1,46.335
2010289,1,30.412
2010290,1,30.412
2010291,1,0
2010292,1,46.986
2010293,1,49.976
2010294,1,49.976
2010295,1,0
2010296,1,53.495
2010297,1,0
2010298,1,0
2010299,1,39.147
2010300,1,0
2010301,1,47.703
2010302,1,0
2010303,1,0
2010304,1,0
2010305,1,45.146
2010306,1,57.381
2010307,1,45.854
2010308,1,0
2010309,1,37.1
2010310,1,37.1
2010311,1,0
2010312,1,38.185
2010313,1,0
2010314,1,38.185
2010315,1,41.977
2010316,1,41.977
2010317,1,0
2010318,1,35.6
2010319,1,0
2010320,1,35.6
2010321,1,30.431
2010322,1,30.431
2010323,1,47.712
2010324,1,30.44
2010325,1,0
2010326,1,30.44
2010327,1,0
2010328,1,49.721
2010329,1,0
2010330,1,0
2010331,1,0
2010332,1,49.721
2010333,1,0
2010334,1,52.306
2010335,1,0
2010336,1,0
2010337,1,0
2010338,1,52.306
2010339,1,40.751
2010340,1,0
2010341,1,0
2010342,1,40.751
2010343,1,0
2010344,1,82.228
2010345,1,0
2010346,1,0
2010347,1,0
2010348,1,52.325
2010349,1,0
2010350,1,0
2010351,1,0
2010352,1,0
2010353,1,0
2010354,1,48.372
2010355,1,48.372
2010356,1,33.931
2010357,1,0
2010358,1,33.931
2010359,1,0
2010360,1,0
2010361,1,50.882
2010362,1,36.119
2010363,1,36.119
2010364,1,0
2010365,1,0
2010366,1,42.288
2010367,1,42.288
2010368,1,44.58
2010369,1,0
2010370,1,44.58
2010371,1,0
2010372,1,38.317
2010373,1,0
2010374,1,38.317
2010375,1,0
2010376,1,46.231
2010377,1,54.542
2010378,1,0
2010379,1,48.042
2010380,1,30.77
2010381,1,30.77
2010382,1,0
2010383,1,0
2010384,1,51.391
2010385,1,38.883
2010386,1,0
2010387,1,0
2010388,1,0
2010389,1,38.883
2010390,1,23.686
2010391,1,0
2010392,1,24.026
2010393,1,35.827
2010394,1,35.827
2010395,1,45.741
2010396,1,45.741
2010397,1,33.487
2010398,1,33.487
2010399,1,0
2010400,1,30.252
2010401,1,0
2010402,1,0
2010403,1,0
2010404,1,30.252
2010405,1,0
2010406,1,31.638
2010407,1,31.638
2010408,1,33.063
2010409,1,33.063
2010410,1,49.589
2010411,1,57.881
2010412,1,0
2010413,1,57.881
2010414,1,0
